Label,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,2571,549196,21156,17895,17895,13224,10542,10542,8553,8553,5815,5815,3741,3741,12208,19802,0,35424,6421,38525,13186,12152,19923,11661,0,394272,739,-1.46,28,356248,976275131,24578,12177,7881,169408,12295,466,12295,0.33,104,0.33,-668,-466,3976,110688,394552,2,5,1,0,1,0,0,0,5,2,5,0,13,1,0,1,160,14.95,5783,0,0,0,5969,4795,4795,0,0,58262,31098,24333,19318,1,24539,11753,0,0,17251,84346,7.11,24304,0,0,0,0,0,0,41283,14326,17251,72138,24304,0,0,0,83.83,0,0,0,0,0,0,0,0,0,67417,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,2234,817.43,15.69,11246,12002,10559,6441,6819,4.68,5087,3253,3583,2.26,2485,4923,14909,0,18139,27549,0,18199,24265,0,10309,11601,315041,67,-2.73,22,305636,116788422,14218,5573,2559,130.14,11741,324,11741,0.27,66,0.27,-489,-324,3038,83684,315716,1,6,0,1,1,2,0,2,4,1,7,0,2,0,0,0,110,5317,6545,0,5907,5687,0,19901,0,0,0,29.8,12133,28282,16322,3,9718,34595,0,0,4992,0,11862,68728,0,0,5317,11375,0,11601,23087,4795,10114,11127,47457,5023,0,0,84.6,0,6196,0,0,0,0,0,0,0,53582,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1818,678619,17905,13223,15491,11203,7105,8239,5461,6682,3064,4081,2.03,2621,5663,0,0,11919,40452,0,11.13,6066,13847,9985,55845,393053,429,-1.41,24,376546,138434423,18922,7.65,4568,154666,6.04,492,6.04,226,0.12,226,-732,-492,3028,96699,394.69,4,7,0,1,1,1,0,1,7,2,10,0,6,0,0,0,132,16204,5.75,5663,11919,0,0,4838,4992,10056,0,34803,19914,12487,28282,2,9574,46722,0,5063,21452,25931,13214,27201,0,5.75,16204,0,5.75,34803,35859,4838,0,20268,22118,15068,0,0,98.46,0,17841,0,0,0,0,0,0,0,41242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,2633,543418,11707,7984,9496,7592,4294,5.05,3005,3.79,1937,2756,1.23,1.62,0,0,0,11766,21303,0,0,18199,0,15181,34669,255008,0,-1.59,16,249.04,4372.52,10912,4112,1868,101402,6025,382,6025,242,13,242,13,-382,2.01,64108,256096,4,5,0,0,0,1,1,2,5,2,7,0,1,0,0,0,82,11467,5694,5818,5948,0,0,0,0,4984,10197,35335,6066,5563,10045,2,0,34968,0,15181,0,0,11467,28244,0,11257,11467,11766,0,23202,15181,0,0,0,18199,10045,11257,0,90.71,0,11906,0,0,0,0,0,0,0,29316,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2494,1158253,29922,19434,21884,17775,10033,14128,7634,10796,5098,6305,3585,4609,105123,45368,0,0,0,14.22,0,5.48,0,12.65,37343,636992,929,-1.24,39,614341,76246019.21,33964,13163,9674,219941,13262,849,13262,413,876,413,-5437,-849,-6978,108282,637525,5,22,0,2,2,0,0,0,19,5,25,0,13,0,2,2,230,43798,24416,18684,0,0,31197,13658,8366,35017,0,6104,0,14.22,24722,2,95.36,37166,0,5.48,0,61.35,20826,0,0,0,15693,0,0,0,132164,72326,0,0,0,0,0,0,332.4,0,-15844,0,0,0,0,0,0,105913,50681,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2477,468707,18656,15141,15141,11952,9392,9392,6863,6863,4.71,4.71,3215,3215,18177,19802,0,30461,25683,19262,0,12152,12152,6924,5107,352225,0.7,-1.46,25,320215,271685711,21582,11985,8453,149994,12092,481,12092,303,54,303,-801,-481,3251,97143,352471,3,5,1,0,1,0,0,0,4,3,5,0,12,1,0,1,142,15.32,5783,0,0,0,5969,9589,0,0,0,50.49,25683,24677,12208,1,24909,11753,0,0,11836,76919,0,24304,0,0,0,0,0,0,39.28,9589,11836,64711,24304,0,0,0,94.83,0,0,0,0,0,0,0,0,0,64167,1,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,1797,716784,18198,15893,15893,11632,9806,9806,9493,9493,8564,8564,7.01,7.01,5601,14696,0,22396,30595,25683,11146,6924,6076,26847,0,342219,727,-1.22,25,312239,424524.12,17207,5156,2.02,150118,12267,382,12267,161,65,161,-1163,-382,4005,96864,342479,1,3,4,0,4,0,0,0,3,1,3,0,1,2,0,2,136,5107,5601,11566,0,0,0,9589,0,0,0,25497,80769,11836,0,4,14696,11566,0,0,28584,71821,0,23298,0,0,0,0,0,0,22274,9589,28584,66.22,23298,0,0,0,54.37,0,0,0,0,0,0,0,0,0,55417,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2847,42913,4284,2.64,2.64,2.27,1.19,1.19,598,598,175,175,0,0,5969,4795,0,6545,0,0,0,0,0,5734,5107,75032,0.5,-0.57,5,70027,9651,4.43,1722,3.43,29.4,9243,0.48,9243,317,278,317,-968,-0.48,-0.97,16.69,75067,3,3,0,0,0,0,0,0,2,2,3,0,1,0,0,0,30,10.84,0,0,0,0,5969,4795,0,0,0,0,0,0,6545,0,9901,5969,0,0,5734,0,6545,0,0,0,5734,0,0,0,17621,4795,0,0,0,0,0,0,63.32,0,0,0,0,0,0,0,0,0,20167,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1477,765675,17941,16118,16118,12522,10508,10508,9707,9707,8631,8631,7179,7179,0,5107,0,6104,10.83,30595,37668,11146,12394,43116,0,349241,625,-1.41,26,318.27,1508082589,16741,5792,2238,156977,10156,393,10156,58,106,58,-106,-393,5399,105307,349518,1,2,4,0,4,0,1,1,2,1,2,0,1,2,0,2,138,5107,0,0,0,0,0,4984,0,0,0,37639,90732,12394,6104,5,5107,5573,0,4984,28584,64897,0,47815,0,0,0,0,0,0,16194,0,28584,64357,42252,0,5573,0,33.12,0,0,0,0,0,0,0,0,0,48333,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3.05,109109,4406,3602,3602,2894,1854,1854,1175,1175,635,635,344,344,0,0,0,0,0,5824,0,12394,6924,9968,0,82053,0.25,-0.79,6,76058,33549,3402,1125,407,36225,3861,349,3861,102,968,102,968,-349,718,23325,82106,1,2,0,0,0,0,1,1,1,1,2,0,0,0,0,0,32,4984,5824,0,0,0,0,0,4984,0,0,0,6924,12394,0,1,0,0,0,9968,0,6924,0,18218,0,0,0,0,0,0,9968,0,6924,5824,12394,0,0,0,28.68,0,0,0,0,0,0,0,0,0,13167,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1519,1024907,18855,15688,16505,13027,9597,11.25,7557,9666,5721,7453,4039,5351,9837,8418,0,5753,17358,17501,30336,24265,12133,35261,0,382171,364,-2.11,27,356321,2292301483,18262,7486,3942,160678,12541,361,12541,178,133,178,-3249,-361,3821,109854,382529,1,4,0,1,1,2,1,3,3,1,5,0,6,0,1,1,142,9884,0,9837,0,0,0,0,8418,0,0,24265,74668,23142,10648,4,8418,20.74,0,9884,0,36621,19345,65855,0,0,0,0,0,0,43689,22679,0,23969,59623,0,10903,0,53.17,0,-3249,0,0,0,0,0,0,25081,36251,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2853,865.25,27087,19368,19368,16972,10782,10782,7781,7781,4926,4926,3.28,3.28,68674,49505,0,32786,0,15363,4.9,30332,0,0,4737,508157,0.5,-3.59,36,482252,30684627.23,30441,16.15,13337,206442,11714,549,11714,73,49,73,-1621,-549,-7773,109374,508.46,0,14,0,0,0,1,0,1,14,0,14,0,20,0,0,0,200,54242,0,0,0,0,0,14.7,0,0,0,30332,5563,52358,49102,1,54242,29847,0,14.7,0,12649,58965,35895,0,0,25533,0,0,0,109553,35316,0,5563,30332,0,0,0,219.6,0,0,0,0,0,0,0,0,0,115833,5,0,0,0,0,0,0,0,5,5,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2642,294233,9845,6974,6974,6092,3857,3857,2815,2815,1709,1709,973,973,12011,4795,0,12.17,0,5563,12133,12133,0,0,15947,181074,222,-1.55,13,170103,758764,9537,3.91,2757,75616,10396,508,10396,0.32,0.16,0.32,-1.02,-508,347,47422,181191,4,4,0,0,0,1,0,1,3,3,4,0,3,0,0,0,70,15947,11791,0,0,0,5969,4795,0,0,0,12133,24117,0,0,1,15008,5969,0,0,5734,12463,0,29829,0,5.75,5734,0,5.75,0,22224,11215,0,5563,24265,0,0,0,83.55,0,0,0,0,0,0,0,0,0,38833,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1952,497923,16328,13542,13542,10.26,7788,7788,7032,7032,3816,3816,2545,2545,18312,15.32,0,12146,25136,11127,0,0,38.97,5317,4737,309194,647,-1.14,22,282.19,58912858,17218,6959,4678,131486,9995,491,9995,123,48,123,-0.76,-491,635,85121,309406,4,5,1,0,1,1,0,1,5,4,5,0,6,0,0,0,124,25373,18.46,0,0,0,0,0,0,0,0,12133,32401,30489,12208,2,20056,0,0,5317,0,57464,13152,29326,0,5.75,10054,0,5.75,0,52322,12842,0,31898,18199,0,0,0,81.95,0,0,0,0,0,0,0,0,0,52.25,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1578,2378.81,41833,33779,33779,26.82,18958,18958,15597,15597,11527,11527,8.03,8.03,77284,34.81,0,55692,5647,5563,40219,63444,19056,5317,23931,785352,442,-5.44,57,734483,1940000000000.0,41201,15483,7103,329936,14562,507,14562,312,19,312,-1958,-507,6158,213143,785891,5,14,0,2,2,2,2,4,13,5,14,0,3,0,0,0,304,44.69,39971,5.75,0,11.69,11756,18784,4984,0,0,45923,44543,67349,35524,6,53757,50.8,0,9385,23672,92517,12427,71159,0,17249,10054,5687,17249,0,84783,23.8,37519,69951,54469,0,27453,0,198.38,0,0,0,0,0,0,0,0,1677,139406,0,2,2,0,0,2,0,2,0,0,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,2,0,6,0,0,0,1,4,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2082,1145.47,21.56,17805,17805,13392,9691,9691,9446,9446,5033,5033,3439,3439,5907,14696,0,27572,16.59,11127,6197,24265,53675,10301,0,392.21,333,-3.08,29,364275,1593008547,20649,7066,4041,170341,12938,508,12938,261,31,261,-509,-508,5081,118029,392499,3,5,0,0,0,2,1,3,3,3,5,0,5,0,0,0,152,15407,11313,0,5429,5907,0,9589,0,0,0,53675,40156,28854,0,3,9901,22497,0,4984,0,52372,5317,69509,0,5.75,10746,5687,5.75,0,15998,10.83,0,63027,47.39,0,10903,0,82.19,0,0,0,0,0,0,0,0,0,68.5,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2177,393203,17361,12043,12043,10807,7049,7049,5559,5559,4.07,4.07,2631,2631,74626,30639,0,0,0,0,0,0,0,0,24424,342116,1,-0.44,23,320121,120494874,18892,7207,3227,130436,9998,394,9998,224,669,224,-2222,-394,-5396,68641,342297,8,11,0,2,2,0,0,0,11,8,11,0,5,0,2,2,136,55063,49335,6.29,5787,0,0,0,0,0,0,0,0,0,13214,2,55063,0,0,0,0,54805,19821,0,0,0,0,0,0,0,115478,14211,0,0,0,0,0,0,189.53,0,0,0,0,0,0,0,0,0,74917,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1827,852287,17811,13002,16026,12025,7489,9001,5461,7148,3.7,4.85,2419,3412,0,0,0,6104,33242,11127,0,36.79,22897,4984,51141,413986,167,-1.23,25,402023,584930751,18558,8434,4901,165606,6365,367,6365,102,286,102,-286,-367,6455,102681,416135,0,3,0,0,0,2,1,3,3,0,7,0,6,0,0,0,130,9304,6104,0,0,0,0,0,4984,0,0,58536,29829,38048,19479,3,4737,46404,0,9551,0,19256,0,86337,0,0,0,0,0,46404,9551,17889,0,17231,55119,20091,0,0,27.05,0,24539,0,0,0,0,0,0,1.93,30809,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1735,637945,18899,16888,16888,13.22,10378,10378,8.03,8.03,5187,5187,3778,3778,0,0,0,0,11.96,26303,37182,0,0,84311,4737,366267,0.5,-1.84,27,332277,2169904456,19909,10483,6369,164495,6088,379,6088,64,0.44,64,0.44,-379,4.83,114186,366549,0,3,0,1,1,2,0,2,3,0,3,0,10,0,1,1,146,9637,0,0,0,0,0,4.9,0,0,0,62378,49545,25384,12649,3,4737,5687,0,4.9,5918,39276,37748,66227,0,0,4.9,5687,0,0,43.79,11282,5918,32253,60664,0,0,0,15.71,0,0,0,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2274,848214,16.56,12193,12193,10986,6835,6835,5056,5056,3683,3683,2476,2476,10741,19299,0,29414,11251,0,35232,19.18,0,4992,0,313086,125,-3.09,23,301192,179383083,14831,5601,2565,130578,14141,313,14141,0.27,143,0.27,-536,-313,2548,83412,313288,0,6,0,1,1,2,0,2,4,0,7,0,2,0,0,0,116,4.9,12362,0,5907,5687,0,19901,4.39,0,0,12133,18199,30307,16322,3,14108,22994,0,0,4992,0,18492,69523,0,0,4.9,15765,0,0,30135,4795,15932,11127,47457,0,0,0,75.81,0,0,0,0,0,0,0,0,14141,51026,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2047,1038121,20326,15629,15629,13201,9298,9298,7803,7803,5287,5287,4132,4132,39.67,14696,8781,29.33,13.09,19038,4567,4.9,13847,5317,5734,392166,474,-2.68,28,370.23,2915553.45,18673,6439,2808,159278,15645,477,15645,341,13,341,-1449,-477,2082,102039,392406,4,7,1,1,2,1,1,2,6,3,9,0,3,1,1,2,150,25624,11251,11634,5429,0,5969,4795,13575,0,0,0,26689,37412,16.59,4,18682,28247,0,9884,0,44815,23723,33618,0,0,21379,20156,0,0,40816,0,11634,43089,10991,0,10903,0,100.59,0,0,0,0,0,0,0,0,32249,45251,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1.85,925393,23.69,19189,19945,14918,11592,11.97,10546,11171,9302,10227,7768,8291,45769,24597,0,36379,19262,5573,6076,13,26847,0,16338,464197,0.72,-1.5,32,431722,9958957039,23651,7506,2691,193585,13232,0.45,13232,306,0.07,306,-1506,-0.45,3126,118854,464986,2,6,4,0,4,0,0,0,6,2,7,0,5,3,0,3,176,14.95,6607,11384,5783,0,5969,14384,0,0,11601,39344,49671,23169,10978,4,29334,29137,0,0,28584,76378,6607,23801,0,0,0,0,0,11601,50935,19.12,28584,59799,23801,0,0,0,100.9,0,7.41,0,0,0,0,0,0,0,73201,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2462,1104764,27801,17182,19632,16199,9137,13307,7.22,10545,4672,6141,3238,4629,105028,50474,0,0,0,0,4722,0,0,8366,32975,594982,917,-1.2,36,574.32,15998435.3,31.02,11271,8.41,201432,11347,479,11347,397,1291,397,-5466,-479,-6251,102465,595488,9,21,0,2,2,0,0,0,16,9,24,0,10,0,2,2,212,39743,36562,24788,0,0,37071,13658,13161,29975,0,0,0,0,6607,2,91816,37071,0,4722,0,61.35,6607,0,0,0,4722,0,0,0,138.37,58473,0,0,0,0,0,0,339.51,0,-15825,0,0,0,0,0,0,101374,50701,1,4,4,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1878,1232268,23629,17725,17725,14991,9431,9431,7492,7492,4536,4536,2944,2944,40173,23881,0,24151,5563,4567,52084,0,0,25815,4417,443148,0.3,-4.09,32,423255,10134826.9,22592,8571,4633,180861,13023,867,13023,309,12,309,-1299,-867,0.28,106021,443415,2,11,0,0,0,1,2,3,9,2,12,0,8,0,0,0,168,20157,17336,0,11.45,5907,11798,18951,9374,0,10197,12133,37293,20516,5539,3,23503,11814,0,30382,7048,32855,0,69.3,0,5.75,21299,4.39,5.75,0,31563,19131,12741,52.3,33477,0,0,0,155.07,0,0,0,0,0,0,0,0,19062,71854,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1501,762117,21562,17618,18512,14355,11226,13256,8965,11421,6703,8483,5039,6519,31449,24154,0,12.08,25304,25683,29726,0,30332,0,0,435217,652,-1.65,30,401229,5910365206,23022,10588,6422,178671,12789,0.48,12789,326,0.1,326,-3615,-0.48,4162,116758,435501,2,6,1,1,2,1,0,1,3,2,7,0,10,1,1,2,166,14.9,12204,0,13276,0,5969,9.36,4795,0,0,62436,43083,12707,0,3,24154,19245,0,4.9,11836,63829,18869,35895,0,0,0,0,0,7369,51687,20575,11836,56.93,30332,0,0,0,94.91,0,0,0,0,0,0,0,0,12613,60193,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.61,93431,7983,6761,6761,4719,3947,3947,2613,2613,1624,1624,1088,1088,5969,4795,0,5918,0,25683,0,0,13847,0,5107,144115,875,-0.53,10,128086,134888,9.47,5.27,3487,62.25,10479,481,10479,306,102,306,-635,-481,2287,40942,144214,1,2,0,0,0,0,0,0,1,1,2,0,5,0,0,0,60,5107,0,0,0,0,5969,4795,0,0,0,26689,12842,0,5918,0,9901,5969,0,0,5918,39531,0,0,0,0,0,0,0,0,11076,4795,5918,39531,0,0,0,0,37.3,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
